Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,PM1,PM25,PM10,counts
1712792003.16,0,0,26.5469140625,41.9073427983236,1005.6385755725211,63.56396849555913,12887828.0,4.0,6.6,7.0,33.4
1712792008.05,0,0,27.04859375,41.69546037831776,1005.860868477221,61.702005267997194,12887828.0,4.0,6.6,7.0,28.4
1712792013.08,0,0,27.237382812499998,42.427048726133236,1005.9080586127586,61.30678562785515,12887828.0,4.8,6.8,7.8,32.0
1712792018.06,0,0,27.358046875000003,42.59919339970226,1005.9200144637149,61.20665773815266,12887828.0,4.8,6.8,7.8,31.6
1712792023.08,0,0,27.463789062499995,42.826965336225506,1005.9048021550068,61.33405802040547,12887828.0,4.4,7.0,7.4,30.2
1712792028.03,0,0,27.463789062499995,42.826965336225506,1005.9048021550068,61.33405802040547,12887828.0,4.4,7.0,7.4,40.2
1712792033.08,0,0,27.608046874999996,45.448867677659905,1005.9284584878235,61.13594107846454,12887828.0,4.2,6.6,7.6,32.4
1712792038.05,0,0,27.741562499999997,46.02790049070945,1005.9019854435061,61.357647719622165,12887828.0,4.2,6.6,7.6,33.6
