Time,PM1,PM2.5,PM10
1.0013086795806885,0,4,6
2.0028738975524902,0,4,6
3.004437208175659,0,3,4
4.005993366241455,0,3,4
5.007843971252441,0,3,4
6.010200262069702,0,3,5
7.01255202293396,0,3,5
8.014857292175293,0,3,5
9.017242431640625,0,2,2
10.019644260406494,0,2,2
11.021951913833618,0,2,2
12.024290084838867,0,2,2
13.026616334915161,0,3,3
14.028928995132446,0,3,3
15.03124189376831,0,2,2
16.033599615097046,0,1,1
17.036320686340332,0,1,1
18.03854465484619,0,1,1
19.04078483581543,0,1,1
20.043115854263306,0,1,1
21.045519590377808,0,0,1
22.047929525375366,0,0,1
23.050305128097534,0,0,1
24.052677631378174,0,0,2
25.054989099502563,0,0,2
26.057387590408325,0,0,2
27.05978012084961,0,0,2
28.06207776069641,0,0,2
29.06439208984375,0,0,2
30.0667667388916,0,0,2
