Time,Latitude,Longitude,counts
1713999748.1,0,0,1096.5
1713999750.1,0,0,68.0
1713999752.1,0,0,66.5
1713999754.07,0,0,66.5
1713999756.1,0,0,64.0
1713999758.1,0,0,66.0
1713999760.1,0,0,67.5
1713999762.07,0,0,67.5
1713999764.1,0,0,57.0
1713999766.1,0,0,58.5
1713999768.1,0,0,77.0
1713999770.1,0,0,82.0
1713999772.08,0,0,82.0
1713999774.1,0,0,58.0
1713999776.1,0,0,68.0
1713999778.1,0,0,67.0
1713999780.1,0,0,68.0
1713999782.09,0,0,68.0
1713999784.1,0,0,60.0
1713999786.1,0,0,64.5
1713999788.1,0,0,59.0
1713999790.08,0,0,59.0
1713999792.1,0,0,75.5
1713999794.1,0,0,70.0
1713999796.1,0,0,64.5
1713999798.1,0,0,61.0
1713999800.07,0,0,61.0
1713999802.1,0,0,71.0
1713999804.1,0,0,79.0
1713999806.1,0,0,61.5
1713999808.1,0,0,71.5
1713999810.08,0,0,71.5
1713999812.1,0,0,64.0
1713999814.1,0,0,65.0
1713999816.11,0,0,75.0
1713999818.07,0,0,75.0
1713999820.1,0,0,63.0
1713999822.1,0,0,61.5
1713999824.1,0,0,62.5
1713999826.11,0,0,58.5
1713999828.07,0,0,58.5
1713999830.1,0,0,61.0
1713999832.1,0,0,69.0
1713999834.1,0,0,59.5
1713999836.11,0,0,81.0
1713999838.07,0,0,81.0
1713999840.1,0,0,65.5
1713999842.1,0,0,66.5
1713999844.1,0,0,65.0
1713999846.09,0,0,65.0
1713999848.1,0,0,63.5
1713999850.1,0,0,65.0
1713999852.1,0,0,56.0
1713999854.1,0,0,82.0
1713999856.08,0,0,82.0
1713999858.1,0,0,63.5
1713999860.1,0,0,75.5
1713999862.1,0,0,72.0
1713999864.07,0,0,72.0
1713999866.1,0,0,63.5
1713999868.1,0,0,73.0
1713999870.1,0,0,68.0
1713999872.1,0,0,72.0
1713999874.08,0,0,72.0
1713999876.11,0,0,65.5
1713999878.1,0,0,75.5
1713999880.1,0,0,59.0
1713999882.1,0,0,63.0
1713999884.09,0,0,63.0
1713999886.1,0,0,68.5
1713999888.1,0,0,57.0
1713999890.1,0,0,57.5
1713999892.08,0,0,57.5
1713999894.1,0,0,68.5
1713999896.1,0,0,68.0
1713999898.1,0,0,65.5
1713999900.1,0,0,67.5
1713999902.09,0,0,67.5
1713999904.1,0,0,79.0
1713999906.1,0,0,71.0
1713999908.1,0,0,67.5
1713999910.1,0,0,75.5
1713999912.08,0,0,75.5
1713999914.1,0,0,71.0
1713999916.1,0,0,62.0
1713999918.1,0,0,64.0
1713999920.08,0,0,64.0
1713999922.1,0,0,66.0
1713999924.1,0,0,84.5
1713999926.1,0,0,61.0
1713999928.1,0,0,73.5
1713999930.1,0,0,73.5
1713999932.1,0,0,64.0
1713999934.1,0,0,74.0
1713999936.1,0,0,73.0
1713999938.1,0,0,72.5
1713999940.08,0,0,72.5
1713999942.1,0,0,59.0
1713999944.1,0,0,73.5
1713999946.1,0,0,68.0
1713999948.1,0,0,68.0
1713999950.1,0,0,66.0
1713999952.1,0,0,67.5
1713999954.1,0,0,67.5
1713999956.1,0,0,67.0
1713999958.07,0,0,67.0
1713999960.1,0,0,64.0
1713999962.11,0,0,64.5
1713999964.1,0,0,69.0
1713999966.08,0,0,69.0
1713999968.1,0,0,68.0
1713999970.1,0,0,70.5
1713999972.1,0,0,62.0
1713999974.1,0,0,74.5
1713999976.07,0,0,74.5
1713999978.1,0,0,66.5
1713999980.1,0,0,71.0
1713999982.1,0,0,61.5
1713999984.1,0,0,63.5
1713999986.09,0,0,63.5
1713999988.1,0,0,63.0
1713999990.1,0,0,73.5
1713999992.1,0,0,62.0
1713999994.07,0,0,62.0
1713999996.1,0,0,74.0
1713999998.1,0,0,65.0
1714000000.1,0,0,70.0
1714000002.1,0,0,75.0
1714000004.07,0,0,75.0
1714000006.1,0,0,71.5
1714000008.1,0,0,77.5
1714000010.1,0,0,67.0
1714000012.1,0,0,64.0
1714000014.08,0,0,64.0
1714000016.1,0,0,63.5
1714000018.1,0,0,64.0
1714000020.1,0,0,68.0
1714000022.07,0,0,68.0
1714000024.1,0,0,61.5
1714000026.1,0,0,58.0
1714000028.1,0,0,55.5
1714000030.1,0,0,60.5
1714000032.07,0,0,60.5
1714000034.1,0,0,58.5
1714000036.1,0,0,80.5
1714000038.1,0,0,66.5
1714000040.1,0,0,72.5
1714000042.09,0,0,72.5
1714000044.1,0,0,63.5
1714000046.1,0,0,81.0
1714000048.1,0,0,64.0
