Time,PM1,PM2.5,PM10,Temperature,Humidity,Pressure,Altitude
0.9842963218688965,0,0,0,33.9024609375,100,690.817393097857,3116.3869722155296
1.9958326816558838,0,0,0,23.6471875,55.34727342275907,1004.6987073763423,71.43985787623146
3.0073959827423096,0,0,0,23.6829296875,54.38723675455934,1004.7000117215405,71.42892353706155
4.018938779830933,0,0,0,23.7251171875,53.40794791558512,1004.7049057146904,71.38789724475788
5.0305562019348145,0,0,0,23.7719921875,52.50232345902733,1004.7036332978734,71.39856388577854
6.04425048828125,0,0,0,23.8216015625,51.6999091041348,1004.7085231747099,71.3575722200644
7.057250261306763,0,0,0,23.869453125,51.004983407481404,1004.7105430281704,71.34063990661551
8.070346355438232,0,0,0,23.9190625,50.42907263100592,1004.722307325796,71.24202103530465
9.083359241485596,0,0,0,23.9719921875,49.91024954849388,1004.7239495352882,71.2282546399946
10.09635877609253,0,0,0,24.02765625,49.514944367784295,1004.7265794694321,71.20620833535796
11.109084129333496,0,1,1,24.0813671875,49.29043983178472,1004.7346397427089,71.13864068348228
12.122198104858398,0,1,1,24.13546875,49.13307874068959,1004.7381511082115,71.10920574902312
13.136346578598022,0,0,0,24.1895703125,48.95154679026596,1004.7399256409342,71.09433029869065
14.149658679962158,0,0,0,24.242109375,48.7760470569293,1004.7460445436961,71.04303727745128
15.162638425827026,0,0,0,24.2946484375,48.61282033349973,1004.7452534876907,71.04966846068173
16.175486087799072,0,1,1,24.3458203125,48.51618297386402,1004.7387773194823,71.10395637894939
17.186599254608154,0,1,1,24.3989453125,48.46222448150293,1004.744088796355,71.05943172357014
18.1977059841156,0,1,1,24.4503125,48.44439554295653,1004.7430805013371,71.06788396979714
19.20881962776184,0,1,1,24.5005078125,48.46882342420325,1004.7505063908309,71.00563504162446
20.219989776611328,0,0,0,24.53390625,48.50934243765587,1004.7530451503485,70.98435349353704
21.231372833251953,0,0,0,24.563203125,48.37367282693844,1004.7506369887623,71.00454028300852
22.244471788406372,0,0,0,24.58390625,48.146289782508134,1004.7549602828076,70.96829962546263
23.25745153427124,0,0,0,24.5985546875,47.91239680388033,1004.7701453403819,70.84100961469537
24.2704758644104,0,0,0,24.6137890625,47.72713834899114,1004.7776550726035,70.77805923406717
25.283395528793335,0,0,0,24.6262890625,47.63216504118171,1004.7738170991738,70.81023102443821
26.29636311531067,0,0,0,24.6411328125,47.65811716830259,1004.785867132377,70.70922202409899
27.30935287475586,0,0,0,24.655,47.78653646184966,1004.7928780818027,70.65045342635351
28.32244372367859,0,0,0,24.6649609375,47.962900894152796,1004.7849106708505,70.71723949502008
29.33546733856201,0,0,0,24.6727734375,48.13313081347952,1004.7889813990404,70.68311694744281
30.348546266555786,0,0,0,24.6813671875,48.230993599623474,1004.7874190893388,70.69621286806768
31.36160135269165,0,0,0,24.6891796875,48.30459781507744,1004.7845865430126,70.71995647503894
32.37464118003845,0,0,0,24.6958203125,48.353863605190085,1004.7833003338144,70.73073804499495
33.38776421546936,0,0,0,24.701875,48.3970135444532,1004.7776100358782,70.7784367535845
34.40080118179321,0,0,0,24.7067578125,48.433969788598404,1004.7751920016091,70.79870590118654
35.41339445114136,0,0,0,24.7114453125,48.44061351670308,1004.7690048370615,70.85056992473571
36.42609095573425,0,0,0,24.714375,48.40463029384473,1004.7703150884244,70.8395866963813
37.43908381462097,0,1,1,24.717109375,48.302022447928,1004.7713078616038,70.83126474784797
38.45212507247925,0,0,0,24.718671875,48.120686987281246,1004.7738474763506,70.80997638753652
39.46506905555725,0,0,0,24.7200390625,47.98785216258168,1004.7743438506109,70.80581552763597
40.477664947509766,0,0,0,24.7137890625,47.75758002878139,1004.7779915973518,70.77523832202694
41.4904625415802,0,0,0,24.70578125,47.455078893450896,1004.7718789652301,70.82647745897353
42.503092765808105,0,0,0,24.7020703125,47.11152940710512,1004.777927495441,70.7757756549676
43.51612663269043,0,0,0,24.6985546875,46.822700123270096,1004.7894705609043,70.67901659548723
44.52915072441101,0,0,0,24.693671875,46.53418413056405,1004.7918882806916,70.65875031721349
45.542081117630005,0,0,0,24.6844921875,46.25759855213787,1004.7924986197421,70.6536342214579
46.55463242530823,0,0,0,24.6735546875,45.98124862315762,1004.7885256284027,70.68693740214123
47.567546367645264,0,0,0,24.6633984375,45.71736983380414,1004.7616631843953,70.91211180219038
48.580543756484985,0,0,0,24.6555859375,45.4958754462315,1004.7403363395736,71.09088752090784
49.59353995323181,0,0,0,24.6411328125,45.333390208792004,1004.7202950930847,71.25888930448282
50.6078155040741,0,0,0,24.6219921875,45.15267488461076,1004.7081644143013,71.36057969047003
51.62153673171997,0,0,0,24.60265625,44.954321077497774,1004.6870879743516,71.53726394955264
52.634541749954224,0,0,0,24.5880078125,44.76861982560844,1004.6529252186306,71.82365745608293
53.64756965637207,0,0,0,24.5747265625,44.666258468968714,1004.6123583154498,72.16374850791175
54.66059494018555,0,0,0,24.563203125,44.617494583161495,1004.5711986538149,72.50882029193119
55.67363405227661,0,0,0,24.5503125,44.627840282592686,1004.5467964295108,72.71340753166997
56.68662405014038,0,0,0,24.538203125,44.608646996073446,1004.5150377521223,72.979676996591
57.69964146614075,0,0,0,24.5235546875,44.565462412940555,1004.4722519592965,73.33841021156005
58.71270728111267,0,0,0,24.510859375,44.48106670553247,1004.4309162342231,73.68499722882287
59.7256121635437,0,0,0,24.4977734375,44.44994010252543,1004.3872214426872,74.05137683094048
60.73788523674011,0,0,0,24.4844921875,44.48391458923899,1004.339760013114,74.44935421020593
