Time,Counts,Total Counts
1714176378.5247087,3,3
1714176388.534882,3,6
1714176398.5451162,2,8
1714176408.5553982,4,12
1714176418.5656972,3,15
1714176428.5759604,2,17
1714176438.5862203,4,21
1714176448.5964808,7,28
1714176458.6027474,3,31
1714176468.6129172,3,34
1714176478.6230717,3,37
1714176488.6323795,2,39
1714176498.6426497,4,43
1714176508.648484,2,45
1714176518.6587608,2,47
1714176528.6690214,2,49
1714176538.679288,3,52
1714176548.6895523,4,56
1714176558.699881,1,57
1714176568.7101247,3,60
1714176578.7164662,3,63
1714176588.7267308,5,68
1714176598.7369978,1,69
1714176608.747303,2,71
1714176618.7575727,3,74
1714176628.767843,3,77
1714176638.778111,3,80
1714176648.7883017,3,83
1714176658.79845,3,86
1714176668.8085957,4,90
