Time,Counts,Total Counts
1714173089.146187,0,0
1714173099.156359,1,1
1714173109.16661,0,1
1714173119.176782,1,2
1714173129.1870182,0,2
1714173139.19729,1,3
1714173149.2074618,1,4
1714173159.2176952,1,5
1714173169.227963,3,8
1714173179.2382178,0,8
1714173189.248382,1,9
1714173199.2585328,2,11
1714173209.268682,0,11
1714173219.2788224,0,11
1714173229.2889707,0,11
1714173239.2963598,1,12
1714173249.306586,1,13
1714173259.31686,0,13
1714173269.3271213,1,14
1714173279.332473,2,16
1714173289.3427324,0,16
1714173299.352999,1,17
1714173309.363263,1,18
1714173319.3735297,1,19
1714173329.383795,0,19
1714173339.3925238,1,20
1714173349.396367,1,21
1714173359.406607,1,22
1714173369.4084125,0,22
1714173379.4185593,0,22
