Time,Counts,Total Counts
1714175009.6603904,0,0
1714175019.670556,0,0
1714175029.6807032,1,1
1714175039.69085,1,2
1714175049.7009897,0,2
1714175059.7111168,1,3
1714175069.7212489,0,3
1714175079.7313945,1,4
1714175089.7415416,2,6
1714175099.7516868,0,6
1714175109.7619019,1,7
1714175119.7721632,0,7
1714175129.7824142,1,8
1714175139.7926834,1,9
1714175149.8029423,1,10
1714175159.8132236,0,10
1714175169.8234024,0,10
1714175179.833544,0,10
1714175189.8436656,1,11
1714175199.8538077,1,12
1714175209.8639376,0,12
1714175219.8740785,0,12
1714175229.8842196,0,12
1714175239.894377,0,12
1714175249.9045215,0,12
1714175259.9146514,0,12
1714175269.9247851,0,12
1714175279.9349277,0,12
1714175289.9451573,0,12
1714175299.955431,1,13
