Time,Latitude,Longitude,counts
1714175016.0,0,0,447.6
1714175026.01,0,0,40.7
1714175036.0,0,0,41.6
1714175046.02,0,0,45.2
1714175056.02,0,0,43.7
1714175066.0,0,0,41.9
1714175076.01,0,0,38.5
1714175086.02,0,0,44.4
1714175095.97,0,0,40.3
1714175105.97,0,0,42.8
1714175115.97,0,0,44.3
1714175125.97,0,0,46.9
1714175135.97,0,0,42.5
1714175145.97,0,0,41.9
1714175155.97,0,0,42.5
1714175165.97,0,0,41.4
1714175175.95,0,0,41.4
1714175186.04,0,0,43.2
1714175196.01,0,0,41.1
1714175206.02,0,0,46.1
1714175216.01,0,0,42.3
1714175226.01,0,0,40.2
1714175236.01,0,0,38.7
1714175246.02,0,0,46.5
1714175256.02,0,0,41.5
1714175266.01,0,0,42.6
1714175276.03,0,0,41.0
1714175285.98,0,0,46.6
1714175295.97,0,0,47.1
1714175305.98,0,0,46.2
1714175315.97,0,0,43.4
