Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,PM1,PM25,PM10,counts
1712792080.54,0,0,27.426171875,39.9040622056762,1005.8857280489452,61.49380246613019,12887828.0,4.6,7.6,8.0,32.0
1712792085.52,0,0,27.426171875,39.9040622056762,1005.8857280489452,61.49380246613019,12887828.0,4.6,7.6,8.0,30.2
1712792090.53,0,0,27.292265625,40.28171930125097,1005.8742089075428,61.59027578597568,12887828.0,4.6,7.6,8.0,30.6
1712792095.57,0,0,27.186601562499998,40.79425882859801,1005.8632858207515,61.681757939295,12887828.0,4.6,7.6,8.0,28.4
1712792100.53,0,0,27.038906249999997,40.58227946857265,1005.8818946151125,61.52590768272917,12887828.0,4.6,7.6,8.0,32.8
1712792105.55,0,0,26.80984375,40.265330067685426,1005.8666102141472,61.653915691204496,12887828.0,4.0,7.0,7.4,33.8
1712792110.54,0,0,26.5503125,40.28078064215093,1005.8704085312208,61.62210437199561,12887828.0,4.0,7.0,7.4,31.0
